{'time': 1.4592812061309814, 'x': 0.14596805169807026, 'y': 0.1993721964120043, 'z': 0.0468307456841665, 'yaw': -0.020208464180573316, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.4694020748138428, 'x': 0.1460812327063047, 'y': 0.19921450938388507, 'z': 0.04674886842749541, 'yaw': -0.023142888806979123, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.4794285297393799, 'x': 0.14621395719008556, 'y': 0.19912424054218728, 'z': 0.046976499629863645, 'yaw': -0.01974175699113445, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.4894492626190186, 'x': 0.14610710075242386, 'y': 0.19917630542481973, 'z': 0.04702927021476134, 'yaw': -0.020450358507768662, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.4994738101959229, 'x': 0.14610048612212406, 'y': 0.19920826907575248, 'z': 0.04692839702995428, 'yaw': -0.015918973895811206, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.5094623565673828, 'x': 0.14607528461544228, 'y': 0.19912726838276137, 'z': 0.046817118638457625, 'yaw': -0.020247821369684615, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.519923448562622, 'x': 0.14599458568073723, 'y': 0.19916744376496576, 'z': 0.04694468431820377, 'yaw': -0.02034061354722283, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.5299432277679443, 'x': 0.14598684456046468, 'y': 0.19923324066157314, 'z': 0.04695025479597893, 'yaw': -0.01993787240545597, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.5395660400390625, 'x': 0.14588574705924762, 'y': 0.19911107895216895, 'z': 0.046880122798764655, 'yaw': -0.018373247631304324, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.5496220588684082, 'x': 0.14593318534239044, 'y': 0.19915652551486235, 'z': 0.04702557278315192, 'yaw': -0.01680298692303772, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.5596342086791992, 'x': 0.1457903728443103, 'y': 0.19900352274411978, 'z': 0.047117689499473835, 'yaw': -0.007631464343661243, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.5696735382080078, 'x': 0.1457573276993203, 'y': 0.1990565429465024, 'z': 0.04730613178450861, 'yaw': -0.010926090857740434, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
