{'time': 1.4844632148742676, 'x': 0.16931749559626855, 'y': 0.7659886913568423, 'z': 0.04831138118758015, 'yaw': 0.008637168681159105, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.4936633110046387, 'x': 0.16936907131420054, 'y': 0.7660309285222228, 'z': 0.048443833616798236, 'yaw': 0.009005128801921737, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.5034279823303223, 'x': 0.1693836075217894, 'y': 0.7661158743006835, 'z': 0.04840569656982195, 'yaw': 0.0094511353501776, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.5144331455230713, 'x': 0.16925180583014285, 'y': 0.766063371888557, 'z': 0.04813721196091895, 'yaw': 0.003792955586061359, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.5239245891571045, 'x': 0.16949045793423603, 'y': 0.7661187386024468, 'z': 0.04830878395844841, 'yaw': 0.006513664283039475, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.5339338779449463, 'x': 0.16926992192826326, 'y': 0.7660590257899584, 'z': 0.04831345704620662, 'yaw': 0.0036529835410537424, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.5437819957733154, 'x': 0.1694186213961258, 'y': 0.7660833836876669, 'z': 0.04834615861706772, 'yaw': 0.0073394308257312595, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.5538082122802734, 'x': 0.1691314683222536, 'y': 0.7659258378208688, 'z': 0.04822814585033052, 'yaw': 0.007936763395506167, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.563835859298706, 'x': 0.16925501670131682, 'y': 0.7660472238901367, 'z': 0.04845599915039115, 'yaw': 0.0049970327456324085, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.5738558769226074, 'x': 0.1693859123178661, 'y': 0.7661346656418414, 'z': 0.04828134423313626, 'yaw': 0.00734049417784587, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
