{'time': 1.5031180381774902, 'x': 0.053334526802200175, 'y': -0.2352900363828723, 'z': 0.045701666733749834, 'yaw': 0.05110012434510434, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5144574642181396, 'x': 0.0533451071759903, 'y': -0.2352944034084625, 'z': 0.04573655914102303, 'yaw': 0.050893082642418604, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5225138664245605, 'x': 0.05334906648585909, 'y': -0.23529120474619566, 'z': 0.04575603145101682, 'yaw': 0.05083679008831476, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5338351726531982, 'x': 0.05334892180667388, 'y': -0.2353013388556535, 'z': 0.04573980150371724, 'yaw': 0.05102783698989942, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5435054302215576, 'x': 0.05334804121932888, 'y': -0.23531259111924066, 'z': 0.04573157047172289, 'yaw': 0.05087249207842955, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5528972148895264, 'x': 0.05337154620382993, 'y': -0.23530282469669805, 'z': 0.04573442392547167, 'yaw': 0.05095993732544733, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5629241466522217, 'x': 0.05335180015670137, 'y': -0.23530411355401482, 'z': 0.04572527537726902, 'yaw': 0.050935845592788416, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5740792751312256, 'x': 0.05334072601196477, 'y': -0.23529247378443074, 'z': 0.04571001572350788, 'yaw': 0.05131039991825691, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5831551551818848, 'x': 0.05334332671196335, 'y': -0.2353013038376232, 'z': 0.045756873604210685, 'yaw': 0.05080819945578515, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.593374252319336, 'x': 0.05334910766300783, 'y': -0.235296836038732, 'z': 0.04576576343297644, 'yaw': 0.05077227864971006, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.60319185256958, 'x': 0.05332930747948821, 'y': -0.23529670552479265, 'z': 0.045719993703390985, 'yaw': 0.05112622353259366, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6151385307312012, 'x': 0.05334807296694264, 'y': -0.23529388535088994, 'z': 0.04571027376240349, 'yaw': 0.05126265128675218, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6231598854064941, 'x': 0.053359796261205225, 'y': -0.2353025805607898, 'z': 0.04574265450960632, 'yaw': 0.05094290577124786, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6331403255462646, 'x': 0.05330863770423349, 'y': -0.23528098293390107, 'z': 0.04572225191446246, 'yaw': 0.051265122787235405, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6434035301208496, 'x': 0.053324632335972094, 'y': -0.23528851980707935, 'z': 0.04574017925322375, 'yaw': 0.051116905653717716, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6532878875732422, 'x': 0.053344191241150384, 'y': -0.23530094679718702, 'z': 0.04576698518576658, 'yaw': 0.05075755691261153, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6633150577545166, 'x': 0.05333702148046417, 'y': -0.23528485710692035, 'z': 0.045713127546653264, 'yaw': 0.051113084013879824, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6744649410247803, 'x': 0.05335826047983799, 'y': -0.23529867053335696, 'z': 0.04570490081036462, 'yaw': 0.05079160337064486, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.683467149734497, 'x': 0.05335787743600007, 'y': -0.23530976410638377, 'z': 0.04574361567906797, 'yaw': 0.051025872763826724, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6937134265899658, 'x': 0.053320277681947095, 'y': -0.2352941728789239, 'z': 0.045741614522939386, 'yaw': 0.05114429982146642, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.702730655670166, 'x': 0.0533190644002882, 'y': -0.23527823954530802, 'z': 0.04574352441847511, 'yaw': 0.05130475284104596, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7137506008148193, 'x': 0.05334214630955734, 'y': -0.23528727327227827, 'z': 0.04573035886945868, 'yaw': 0.05120180933487492, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.723656415939331, 'x': 0.053362367930623704, 'y': -0.2352947746042466, 'z': 0.0457324640421931, 'yaw': 0.05088199311524087, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7335929870605469, 'x': 0.053330692211631905, 'y': -0.2352919466318302, 'z': 0.045726500901417264, 'yaw': 0.05122094947384136, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7436192035675049, 'x': 0.05333814313337913, 'y': -0.23529471536673816, 'z': 0.04572528829251502, 'yaw': 0.051200654973463634, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7533984184265137, 'x': 0.05332566436184383, 'y': -0.23530412995381292, 'z': 0.04575580065403653, 'yaw': 0.05087555277624198, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7634639739990234, 'x': 0.05331584454958094, 'y': -0.23528666977306992, 'z': 0.04574677261310469, 'yaw': 0.05095362557667614, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7757327556610107, 'x': 0.053370152664818815, 'y': -0.23529444154260287, 'z': 0.045717808769141104, 'yaw': 0.05091016845195738, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7837588787078857, 'x': 0.053349772721890495, 'y': -0.23529325898369602, 'z': 0.04571872289176709, 'yaw': 0.051418776095445186, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7937846183776855, 'x': 0.05333280822152218, 'y': -0.23528952069925207, 'z': 0.04574840115178999, 'yaw': 0.05113175095251276, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8036975860595703, 'x': 0.053316479072915396, 'y': -0.23529265764080542, 'z': 0.04573247234738403, 'yaw': 0.05127584752495012, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8145599365234375, 'x': 0.053331051146752816, 'y': -0.2352892475548199, 'z': 0.045747041666742184, 'yaw': 0.05120179475770387, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8236114978790283, 'x': 0.05330877824957834, 'y': -0.23529045058791706, 'z': 0.04572062060637505, 'yaw': 0.05098508442816579, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8334558010101318, 'x': 0.05335653412614099, 'y': -0.23529608219365028, 'z': 0.04571920518001326, 'yaw': 0.050686577550169955, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.84456467628479, 'x': 0.05334577658384095, 'y': -0.23528086634196113, 'z': 0.04572822734177591, 'yaw': 0.051251335531875955, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
