{'time': 1.245572566986084, 'x': 0.10566261292103717, 'y': 0.0008347032115968586, 'z': 0.6528070913220883, 'yaw': 1.3735032114233592, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.251086950302124, 'x': 0.10566627311573619, 'y': 0.0008367762840693516, 'z': 0.6527970480639085, 'yaw': 1.3733002346517642, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2566015720367432, 'x': 0.10564395818856978, 'y': 0.0008338431349740025, 'z': 0.6528195539060789, 'yaw': 1.373773413675242, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2621443271636963, 'x': 0.10565347075784216, 'y': 0.0008346710838711536, 'z': 0.6528253065386287, 'yaw': 1.3733198591906732, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.268160104751587, 'x': 0.1056558424864172, 'y': 0.00085410956366974, 'z': 0.6528335345495189, 'yaw': 1.373390237857795, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.273646354675293, 'x': 0.10563563060450493, 'y': 0.000859181005721277, 'z': 0.6528334609987105, 'yaw': 1.3732625940786878, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2792043685913086, 'x': 0.10568101078254274, 'y': 0.0008561040532400811, 'z': 0.6528053540357093, 'yaw': 1.373570407213106, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2847187519073486, 'x': 0.10568293977093651, 'y': 0.0008468203268584521, 'z': 0.6527960564042824, 'yaw': 1.3731866946958262, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2902333736419678, 'x': 0.1056802073763074, 'y': 0.0008466188623058711, 'z': 0.6528013913576586, 'yaw': 1.373215326916096, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2958111763000488, 'x': 0.10567082549618176, 'y': 0.0008442074336380597, 'z': 0.6528126511745135, 'yaw': 1.3736669800467483, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
