{'time': 1.3662126064300537, 'x': 0.05665646821251089, 'y': 0.11574331207009446, 'z': 0.04837733426631262, 'yaw': -0.007426530522521624, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.376267671585083, 'x': 0.056630385336925104, 'y': 0.11571526649031892, 'z': 0.04845574006787723, 'yaw': -0.006330216739666383, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.38541841506958, 'x': 0.05677410718411785, 'y': 0.1157578208548113, 'z': 0.04868940215534248, 'yaw': -0.008901992045797336, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.3965764045715332, 'x': 0.056741052792282136, 'y': 0.11578958680576103, 'z': 0.04838687272970402, 'yaw': -0.008594284114689543, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.4061574935913086, 'x': 0.05686110255952774, 'y': 0.11581351345312135, 'z': 0.048371796213098284, 'yaw': -0.008471183082521705, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.4161956310272217, 'x': 0.05669901403819327, 'y': 0.11570228461271194, 'z': 0.04855872560853106, 'yaw': -0.006975846844757605, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.4261085987091064, 'x': 0.05674903067537051, 'y': 0.11572700220676521, 'z': 0.048609859828430906, 'yaw': -0.008477248889878553, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.436140775680542, 'x': 0.05677883688953972, 'y': 0.11571466414921462, 'z': 0.04862998011441259, 'yaw': -0.008802730937867764, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.4462645053863525, 'x': 0.05680898309973059, 'y': 0.11563989813181252, 'z': 0.048636697837465936, 'yaw': -0.007719858739126728, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.4562263488769531, 'x': 0.0567992825929548, 'y': 0.1155685404317625, 'z': 0.048711277781774476, 'yaw': -0.007259095678069372, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.4653689861297607, 'x': 0.05673154629287099, 'y': 0.11553265303582373, 'z': 0.04879109778467056, 'yaw': -0.0073039149066360665, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.4762957096099854, 'x': 0.056713172516997166, 'y': 0.11552026411574302, 'z': 0.048770409275321516, 'yaw': -0.005123832378240323, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.4863407611846924, 'x': 0.05665966054961805, 'y': 0.115515539126101, 'z': 0.04870493290879222, 'yaw': -0.0045253982460709, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.495490312576294, 'x': 0.05685043097796848, 'y': 0.1156539046708697, 'z': 0.04846837503632075, 'yaw': -0.011444529574130335, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.5054104328155518, 'x': 0.05673502167652159, 'y': 0.1156561621233666, 'z': 0.04851597184521099, 'yaw': -0.0063847286246145885, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.5161402225494385, 'x': 0.05674996897550707, 'y': 0.11565345553532781, 'z': 0.048693515392767985, 'yaw': -0.007706068454722548, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.5262141227722168, 'x': 0.05665357661736213, 'y': 0.11559712682012693, 'z': 0.04866582726573767, 'yaw': -0.007089886795318634, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.5361969470977783, 'x': 0.05664267415481624, 'y': 0.11557295549921481, 'z': 0.048763621198990886, 'yaw': -0.006168859415446093, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.5462646484375, 'x': 0.056727527140947226, 'y': 0.11548851752921292, 'z': 0.04881122560857673, 'yaw': -0.0062502462706302, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.5563020706176758, 'x': 0.05679507931611497, 'y': 0.11556460414320346, 'z': 0.048728302567623824, 'yaw': -0.0064677094699403526, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.5664589405059814, 'x': 0.056747712256172166, 'y': 0.11545819237369077, 'z': 0.04884041817400477, 'yaw': -0.005840626074881783, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.575624704360962, 'x': 0.0568750868034538, 'y': 0.11557494306051626, 'z': 0.048770653517294336, 'yaw': -0.00482868809904069, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.586653709411621, 'x': 0.05691811028017521, 'y': 0.1155334107719607, 'z': 0.04887464916957741, 'yaw': -0.001857463007847393, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.5957090854644775, 'x': 0.056800001071756395, 'y': 0.11554332912084482, 'z': 0.048753653736469955, 'yaw': -0.0036028837615207365, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
