{'time': 1.3609285354614258, 'x': 0.18929707089396633, 'y': -0.36277303258136606, 'z': 0.04692497517350387, 'yaw': 0.03250231248397717, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.3710803985595703, 'x': 0.189256151181774, 'y': -0.36277114681656936, 'z': 0.04676316061359596, 'yaw': 0.03425362661969851, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.380845069885254, 'x': 0.18924560996679088, 'y': -0.36282781868767916, 'z': 0.046986067412891915, 'yaw': 0.03782439147807607, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.3906712532043457, 'x': 0.1891565936199653, 'y': -0.36286055940392853, 'z': 0.04677447912939231, 'yaw': 0.0358136061867469, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.4006235599517822, 'x': 0.18946402394346742, 'y': -0.36269263888926173, 'z': 0.046789861989220624, 'yaw': 0.03353497576061354, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.4108080863952637, 'x': 0.18910310974180958, 'y': -0.362846097285732, 'z': 0.046664850922510714, 'yaw': 0.033748295439203164, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.4208223819732666, 'x': 0.1890737424101795, 'y': -0.36286364079874023, 'z': 0.04653078026398201, 'yaw': 0.03826421070749814, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.4306042194366455, 'x': 0.18904186037837742, 'y': -0.3628825953595195, 'z': 0.046663440003442476, 'yaw': 0.04068702026373929, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.4407696723937988, 'x': 0.18903403864876517, 'y': -0.3628276407063973, 'z': 0.046764473378265566, 'yaw': 0.03755453943213338, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.4507145881652832, 'x': 0.1891276613766635, 'y': -0.36282330003964236, 'z': 0.046836726624936834, 'yaw': 0.036268752799698815, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.4608941078186035, 'x': 0.18926657634921917, 'y': -0.3627631272882346, 'z': 0.04687784529989853, 'yaw': 0.03367684225749856, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.4709069728851318, 'x': 0.1891566898808675, 'y': -0.3627960986270043, 'z': 0.04684057222088953, 'yaw': 0.03886722606206866, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.4809486865997314, 'x': 0.18900717281763216, 'y': -0.3629747943575938, 'z': 0.046578797369459954, 'yaw': 0.0343122647526751, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.4909541606903076, 'x': 0.1891526078986176, 'y': -0.36286288907840003, 'z': 0.046639977309840874, 'yaw': 0.032912016894409965, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.5010509490966797, 'x': 0.18929544550339436, 'y': -0.36283072171194747, 'z': 0.046797394551349944, 'yaw': 0.03581838645171787, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.511267900466919, 'x': 0.18907456857443874, 'y': -0.3629271896564799, 'z': 0.046794768696518614, 'yaw': 0.036936055433670935, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.5213143825531006, 'x': 0.18922117341715677, 'y': -0.36272690157816856, 'z': 0.0468060465847235, 'yaw': 0.03650870316967983, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.53059983253479, 'x': 0.18932191422728054, 'y': -0.36279320097057527, 'z': 0.04676733479564121, 'yaw': 0.032916518258603485, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.5406420230865479, 'x': 0.1891688986177715, 'y': -0.36290830861475276, 'z': 0.046808253970576356, 'yaw': 0.03500068930058558, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.5507538318634033, 'x': 0.1893651933817577, 'y': -0.3627838860034846, 'z': 0.04673097467567911, 'yaw': 0.032339718542973864, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
