{'time': 21.59404158592224, 'x': 0.004257640209729973, 'y': 0.9561134623971218, 'z': 0.2958503557874971, 'yaw': -0.0016456530542070524, 'x_sp': 0.0004853146976611031, 'y_sp': 0.6620891215964594, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.604037761688232, 'x': 0.004079314168926682, 'y': 0.9531082754522181, 'z': 0.2956542517006625, 'yaw': -0.0006989340716163639, 'x_sp': 0.0004853146976611031, 'y_sp': 0.6620891215964594, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.61506724357605, 'x': 0.004032911294756275, 'y': 0.9499100608884131, 'z': 0.2954504311353363, 'yaw': -0.00263647282553503, 'x_sp': 0.0004853146976611031, 'y_sp': 0.6620891215964594, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.624090671539307, 'x': 0.003687011167356349, 'y': 0.9467157865807826, 'z': 0.29535642959898256, 'yaw': -0.0035608294901150472, 'x_sp': 0.0004853146976611031, 'y_sp': 0.6620891215964594, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.63415551185608, 'x': 0.003813108798771232, 'y': 0.9434742650371801, 'z': 0.295507474542317, 'yaw': 0.004425624008076902, 'x_sp': 0.0004853146976611031, 'y_sp': 0.6620891215964594, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.645227909088135, 'x': 0.003495534939247983, 'y': 0.9401679044587457, 'z': 0.2955492548580917, 'yaw': 0.0009435821405583624, 'x_sp': 0.0004853146976611031, 'y_sp': 0.6620891215964594, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.654210567474365, 'x': 0.003247081580208421, 'y': 0.936747109043448, 'z': 0.29546871747801623, 'yaw': -0.0037192380936890146, 'x_sp': 0.0004853146976611031, 'y_sp': 0.6620891215964594, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.66426134109497, 'x': 0.002771128958246381, 'y': 0.9333134304998427, 'z': 0.2959073411695779, 'yaw': 0.013659737175999668, 'x_sp': 0.0004853146976611031, 'y_sp': 0.6620891215964594, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.673256635665894, 'x': 0.0029015943290920223, 'y': 0.9298465526011421, 'z': 0.29592686407855523, 'yaw': 0.005783049273836548, 'x_sp': 0.0004853146976611031, 'y_sp': 0.6620891215964594, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.685312271118164, 'x': 0.002592108741126837, 'y': 0.9262512267110089, 'z': 0.2960467650681799, 'yaw': 0.005838969266111423, 'x_sp': 0.0004853146976611031, 'y_sp': 0.6620891215964594, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.69381594657898, 'x': 0.0021579392414943417, 'y': 0.9226493672220917, 'z': 0.2963959512159738, 'yaw': 0.006691539622998068, 'x_sp': 0.0004853146976611031, 'y_sp': 0.6620891215964594, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.70355200767517, 'x': 0.001984186176146931, 'y': 0.9190456954208425, 'z': 0.29659974395323, 'yaw': 0.004306254683566047, 'x_sp': 0.0004853146976611031, 'y_sp': 0.6620891215964594, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.71357750892639, 'x': 0.0016225945904620707, 'y': 0.9152221266797511, 'z': 0.29681489503191844, 'yaw': 0.014777664070726473, 'x_sp': 0.0004853146976611031, 'y_sp': 0.6620891215964594, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.724608659744263, 'x': 0.0011724604530314816, 'y': 0.9115186459292122, 'z': 0.29710511889871005, 'yaw': 0.016245121510831968, 'x_sp': 0.0004853146976611031, 'y_sp': 0.6620891215964594, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.7336323261261, 'x': 0.0010303624101268918, 'y': 0.9078100785180596, 'z': 0.2973009845042047, 'yaw': 0.00592954415709967, 'x_sp': 0.0004853146976611031, 'y_sp': 0.6620891215964594, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.743658304214478, 'x': 0.0005280965225266714, 'y': 0.9039994728928675, 'z': 0.2975314787425516, 'yaw': 0.012475281462170282, 'x_sp': 0.0004853146976611031, 'y_sp': 0.6620891215964594, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.75357174873352, 'x': 6.491710312108978e-05, 'y': 0.9000793520860534, 'z': 0.2979569519464136, 'yaw': 0.014237004943584503, 'x_sp': 0.0004853146976611031, 'y_sp': 0.6620891215964594, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.763652801513672, 'x': -0.00024733102293137164, 'y': 0.896307624494461, 'z': 0.2981353043355186, 'yaw': 0.009881156896382363, 'x_sp': 0.0004853146976611031, 'y_sp': 0.6620891215964594, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.77367877960205, 'x': -0.0006660188020695177, 'y': 0.8923176596655905, 'z': 0.2984749658797194, 'yaw': 0.013759838576168236, 'x_sp': 0.0004853146976611031, 'y_sp': 0.6620891215964594, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.794801473617554, 'x': -0.001289356782520152, 'y': 0.8845212702080859, 'z': 0.2990888693644999, 'yaw': 0.015011194293331979, 'x_sp': 6.367244039373523e-06, 'y_sp': 0.5883578268203984, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.80382537841797, 'x': -0.0019063591468403648, 'y': 0.8805543998402116, 'z': 0.29949374353867986, 'yaw': 0.019420046088110075, 'x_sp': 6.367244039373523e-06, 'y_sp': 0.5883578268203984, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.814852952957153, 'x': -0.00215452776653826, 'y': 0.8766687950242089, 'z': 0.29963689167069824, 'yaw': 0.015347949372538834, 'x_sp': 6.367244039373523e-06, 'y_sp': 0.5883578268203984, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.82387614250183, 'x': -0.0025950326323579916, 'y': 0.8727049130225749, 'z': 0.2997564607938068, 'yaw': 0.015836728043620685, 'x_sp': 6.367244039373523e-06, 'y_sp': 0.5883578268203984, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.83390212059021, 'x': -0.003236044309853134, 'y': 0.8685818215224171, 'z': 0.3004693309476897, 'yaw': 0.013482277003197663, 'x_sp': 6.367244039373523e-06, 'y_sp': 0.5883578268203984, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.843111753463745, 'x': -0.00354243289356061, 'y': 0.8647020780892619, 'z': 0.30062246273009013, 'yaw': 0.014361109303449457, 'x_sp': 6.367244039373523e-06, 'y_sp': 0.5883578268203984, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.854138135910034, 'x': -0.004042472880758386, 'y': 0.860621982334454, 'z': 0.3008701044921926, 'yaw': 0.010618109099351562, 'x_sp': 6.367244039373523e-06, 'y_sp': 0.5883578268203984, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.863159656524658, 'x': -0.004508140176742811, 'y': 0.8566688379871952, 'z': 0.3012160542769089, 'yaw': 0.011128097923095543, 'x_sp': 6.367244039373523e-06, 'y_sp': 0.5883578268203984, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.874211311340332, 'x': -0.005070002363761356, 'y': 0.8526078738563112, 'z': 0.3018000825584711, 'yaw': 0.01030347221993592, 'x_sp': 6.367244039373523e-06, 'y_sp': 0.5883578268203984, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.884642839431763, 'x': -0.005529874960723433, 'y': 0.8484587395205566, 'z': 0.301888485736721, 'yaw': 0.012305942679656165, 'x_sp': 6.367244039373523e-06, 'y_sp': 0.5883578268203984, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.893646001815796, 'x': -0.005940325776555621, 'y': 0.844236513285657, 'z': 0.30242217113990605, 'yaw': 0.01862708139306718, 'x_sp': 6.367244039373523e-06, 'y_sp': 0.5883578268203984, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.90369439125061, 'x': -0.006434934070581191, 'y': 0.8402074550673798, 'z': 0.3027522438255399, 'yaw': 0.014408108078468977, 'x_sp': 6.367244039373523e-06, 'y_sp': 0.5883578268203984, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.913699865341187, 'x': -0.006940559680324196, 'y': 0.8360057977614649, 'z': 0.3032827556428192, 'yaw': 0.015457901810121796, 'x_sp': 6.367244039373523e-06, 'y_sp': 0.5883578268203984, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.92373013496399, 'x': -0.007687151276044696, 'y': 0.8318865747351939, 'z': 0.3037243395671312, 'yaw': 0.013878259870880216, 'x_sp': 6.367244039373523e-06, 'y_sp': 0.5883578268203984, 'z_sp': 0.3, 'yaw_sp': 0}
