{'time': 1.4776077270507812, 'x': 0.04915603311152979, 'y': -0.2193045863666058, 'z': 0.045994500188373214, 'yaw': -0.004451742683600379, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4875988960266113, 'x': 0.049162092691211454, 'y': -0.2193135955660066, 'z': 0.04600238437448942, 'yaw': -0.004289051696615864, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4966230392456055, 'x': 0.04916803224671948, 'y': -0.21930050415754276, 'z': 0.04599301904798496, 'yaw': -0.004059152110095887, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.507652759552002, 'x': 0.04915134761829682, 'y': -0.2192983270118551, 'z': 0.04598317098372502, 'yaw': -0.004301161300513279, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.51767897605896, 'x': 0.04915929368497577, 'y': -0.21931047108150384, 'z': 0.04596362489646502, 'yaw': -0.004583396504955317, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5277059078216553, 'x': 0.04917447971650629, 'y': -0.21930768779979526, 'z': 0.04598647435298597, 'yaw': -0.004677375412179607, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5377323627471924, 'x': 0.04915185831186412, 'y': -0.2193141229212003, 'z': 0.04598427590465095, 'yaw': -0.004278327826661155, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5474374294281006, 'x': 0.04915983144065513, 'y': -0.21931229646963313, 'z': 0.045992843257607934, 'yaw': -0.004475607483916733, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5584673881530762, 'x': 0.04917643700517436, 'y': -0.2193098953470905, 'z': 0.045997426595205615, 'yaw': -0.004136329542387074, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5677399635314941, 'x': 0.04915081601783361, 'y': -0.2192999747123155, 'z': 0.04597269756848617, 'yaw': -0.004242561084487839, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5777709484100342, 'x': 0.04915699162171386, 'y': -0.21928932621053643, 'z': 0.04598323557917072, 'yaw': -0.004572859179530653, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5877978801727295, 'x': 0.04915837979710489, 'y': -0.21930865227617916, 'z': 0.04597937719396531, 'yaw': -0.004134999782382742, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5978243350982666, 'x': 0.049146363101923544, 'y': -0.21930750700048268, 'z': 0.045998502318562014, 'yaw': -0.004558123524206259, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.607273817062378, 'x': 0.049162978623766236, 'y': -0.21930849455659393, 'z': 0.04597522376084587, 'yaw': -0.004231289426852136, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6172728538513184, 'x': 0.049178496390112195, 'y': -0.21931167676378488, 'z': 0.045974276703811996, 'yaw': -0.004414761940281231, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6272993087768555, 'x': 0.049170207304054324, 'y': -0.21931422235808204, 'z': 0.0460095068274068, 'yaw': -0.004247998799733921, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6373510360717773, 'x': 0.04915675025877716, 'y': -0.2193105660370531, 'z': 0.045953262407938414, 'yaw': -0.004133679977991633, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6473777294158936, 'x': 0.04915362297618708, 'y': -0.21930308753491595, 'z': 0.045989191863323085, 'yaw': -0.003979434175411356, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.657386302947998, 'x': 0.04915469637163709, 'y': -0.21931085287137167, 'z': 0.04599326257195273, 'yaw': -0.004289391018777344, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.667445421218872, 'x': 0.04915235349504202, 'y': -0.21931709151352002, 'z': 0.04597101359939172, 'yaw': -0.004159523988362501, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6774134635925293, 'x': 0.04915921449966255, 'y': -0.21930834562201867, 'z': 0.04597368577872777, 'yaw': -0.004391080473506115, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6875419616699219, 'x': 0.04917989040750614, 'y': -0.21929957718887852, 'z': 0.04597136714462291, 'yaw': -0.00426857411544912, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
